op,key,value
get,K8737,
get,K2714,
get,K5895,
put,K3357,446156
get,K6532,
get,K5703,
put,K5092,483323
get,K4036,
put,K5140,632725
get,K4339,
put,K8608,75746
del,K6675,
get,K280,
get,K4668,
get,K9317,
get,K5465,
put,K9004,322226
get,K3500,
get,K8629,
get,K826,
put,K9564,511272
get,K8885,
get,K5777,
get,K4215,
get,K965,
put,K1284,920212
get,K878,
del,K9935,
get,K4710,
get,K7558,
get,K5774,
get,K4319,
get,K7930,
get,K4143,
get,K5468,
get,K6840,
get,K5270,
get,K3147,
get,K8947,
get,K5876,
put,K7210,653960
get,K4515,
get,K1406,
get,K1405,
put,K8637,38950
get,K8262,
get,K7279,
get,K856,
put,K5827,107965
get,K2499,
get,K708,
get,K259,
get,K1316,
get,K8010,
get,K341,
get,K3883,
put,K7219,788887
get,K5125,
get,K1678,
get,K251,
get,K3174,
get,K1282,
get,K6630,
get,K964,
get,K6810,
get,K7751,
get,K1108,
get,K5913,
get,K2,
get,K4006,
put,K1885,547418
get,K9210,
get,K115,
get,K7966,
get,K5282,
get,K1461,
get,K6129,
get,K6507,
get,K3010,
get,K1443,
put,K2588,234362
get,K8215,
get,K8567,
put,K5265,384605
get,K5337,
get,K9689,
get,K1695,
get,K1014,
get,K629,
put,K669,86396
get,K5265,
get,K9199,
get,K7526,
get,K5950,
put,K2394,142429
get,K3298,
get,K7934,
get,K3536,
get,K7738,
get,K1405,
get,K4205,
get,K3355,
get,K2672,
get,K911,
get,K5077,
get,K8441,
get,K6201,
get,K3270,
put,K5904,694072
get,K930,
get,K4850,
get,K4765,
get,K5252,
get,K8864,
get,K4513,
get,K817,
get,K8170,
put,K2772,461335
put,K1206,772640
get,K5085,
put,K6681,410490
get,K6202,
get,K4285,
get,K9302,
get,K1736,
get,K5701,
get,K1990,
get,K5684,
get,K4963,
get,K8412,
get,K1023,
get,K2510,
del,K446,
get,K750,
put,K436,646714
get,K5625,
put,K4972,414205
get,K5545,
get,K6480,
get,K6542,
get,K1179,
get,K8481,
get,K9736,
get,K2896,
get,K4296,
get,K4682,
get,K6444,
get,K219,
get,K4344,
get,K7183,
get,K5149,
put,K9066,845586
get,K7905,
put,K7854,171475
get,K7715,
get,K6492,
get,K9052,
get,K2380,
put,K6390,981512
get,K4025,
del,K7264,
get,K5106,
get,K1824,
get,K3771,
get,K9564,
del,K1562,
get,K279,
put,K180,652588
put,K826,525260
get,K2168,
put,K4446,983178
get,K1718,
get,K662,
get,K4598,
get,K2067,
get,K2804,
get,K4385,
get,K4367,
get,K7034,
get,K3159,
put,K5038,722144
get,K6217,
put,K8604,549354
get,K5441,
get,K7489,
del,K7187,
get,K4700,
get,K9577,
get,K1264,
get,K5079,
get,K2771,
put,K9166,365656
get,K5281,
get,K6085,
get,K8613,
get,K9591,
get,K3764,
get,K3349,
get,K9155,
get,K804,
get,K5361,
get,K1974,
put,K2471,838433
put,K8185,391219
get,K6729,
get,K339,
get,K3061,
get,K5472,
get,K1809,
get,K593,
get,K5200,
get,K2091,
put,K8500,827013
get,K6268,
get,K8137,
get,K7803,
del,K3648,
get,K8635,
get,K1951,
put,K6518,473613
get,K5313,
get,K8986,
get,K9978,
get,K2116,
get,K4435,
del,K8376,
get,K2880,
get,K6981,
get,K1412,
get,K5752,
get,K5492,
get,K1221,
get,K5285,
del,K6727,
get,K2576,
put,K4005,791676
get,K6334,
get,K3664,
get,K4971,
get,K7797,
put,K620,86219
get,K418,
get,K9205,
get,K2704,
get,K6691,
get,K34,
get,K5605,
get,K492,
get,K4098,
