op,key,value
get,K0,
put,K0,956566
put,K8,126715
del,K314,
get,K15,
del,K6,
put,K0,862138
get,K1,
put,K0,911063
del,K21,
del,K0,
put,K0,929382
get,K3,
put,K0,6537
get,K2709,
put,K0,673470
put,K0,442816
put,K1,373982
get,K8,
get,K31,
put,K145,711444
put,K0,964729
put,K1,501304
put,K0,447112
del,K0,
get,K2,
put,K1,674024
put,K76,565485
get,K8,
put,K0,781219
put,K1,686176
get,K1,
del,K6,
del,K75,
get,K3,
put,K0,959550
put,K0,261193
put,K20,37894
put,K85,305355
get,K0,
put,K6,71403
put,K1,432702
put,K2,798417
put,K0,778111
get,K11,
put,K0,601383
get,K52,
put,K1,857597
put,K0,633968
get,K115,
put,K11,375430
put,K1,148226
put,K9,754867
put,K36,661614
get,K4,
put,K6,93622
get,K1,
del,K2,
get,K0,
get,K48,
put,K1,629205
put,K0,151741
get,K0,
del,K55,
get,K0,
put,K0,959279
get,K3,
del,K125,
put,K1024,794856
get,K22,
put,K0,904883
del,K0,
get,K0,
del,K13,
put,K0,286034
put,K0,908937
put,K0,238771
put,K2347,763608
put,K1,444755
put,K26,589138
del,K719,
put,K0,704341
get,K4096,
get,K0,
put,K0,77777
put,K842,695212
get,K0,
put,K0,691514
get,K15,
get,K101,
get,K0,
get,K4,
get,K0,
get,K0,
put,K199,556184
get,K1,
put,K9,390538
put,K0,518006
get,K0,
get,K37,
get,K1,
put,K19,90082
put,K2,464499
put,K0,725554
get,K3,
get,K0,
put,K435,864420
put,K0,970929
get,K1,
put,K0,864223
put,K0,261911
get,K0,
put,K0,252581
del,K8,
put,K0,390079
get,K9,
get,K1,
put,K0,665167
put,K2,209501
put,K0,431033
get,K0,
put,K0,668264
put,K0,993556
get,K0,
put,K0,564998
del,K9,
put,K0,441216
put,K16,981248
get,K0,
put,K0,851514
put,K2,95688
del,K0,
get,K0,
get,K3,
put,K60,540165
get,K1,
put,K0,629283
del,K385,
del,K0,
put,K0,143225
get,K3,
put,K42,752386
put,K0,115213
put,K0,706256
put,K0,790437
put,K0,719191
put,K0,277820
put,K2,86559
get,K1,
get,K37,
put,K649,325904
get,K3,
put,K6,369521
put,K2,804789
put,K0,199638
put,K0,937066
put,K22,345311
get,K0,
put,K0,109938
get,K0,
get,K32,
del,K0,
put,K1024,158878
put,K24,422605
put,K42,700117
put,K0,152448
put,K10,339880
put,K4,515611
del,K43,
put,K0,390682
put,K6,220856
del,K0,
put,K2607,730579
put,K1,99633
put,K0,912683
put,K17,352290
get,K0,
put,K8,80227
put,K0,435187
put,K28,555313
put,K0,465289
get,K0,
get,K1,
put,K33,929006
put,K0,644661
put,K55,297841
put,K0,346634
put,K1,443653
del,K9,
get,K4,
put,K808,50976
put,K44,569825
put,K562,559461
put,K0,116540
del,K1,
put,K0,459577
put,K27,396805
get,K1,
del,K0,
put,K0,384022
get,K0,
put,K6,683159
get,K1,
put,K2048,112237
del,K8,
get,K0,
put,K18,383226
put,K0,25719
get,K1,
put,K0,502017
put,K2,681575
put,K8,185622
get,K2,
del,K1,
del,K126,
get,K26,
put,K0,257858
put,K0,132471
put,K0,204679
del,K0,
get,K8,
get,K3,
get,K0,
put,K0,361113
put,K0,334825
del,K0,
get,K0,
put,K0,24119
put,K0,94048
get,K0,
get,K1,
get,K1519,
put,K0,344229
put,K7,628141
get,K12,
get,K1,
put,K9,328483
put,K7,670563
get,K0,
put,K0,114629
get,K24,
del,K12,
get,K0,
put,K0,934333
get,K0,
put,K0,126306
put,K0,600151
get,K0,
put,K0,898785
get,K0,
get,K0,
put,K10,793303
get,K0,
get,K0,
put,K0,216817
put,K0,855609
get,K28,
get,K14,
get,K22,
put,K62,676535
get,K1,
get,K0,
put,K7,2480
get,K5,
del,K14,
get,K2,
get,K0,
get,K0,
get,K0,
get,K58,
get,K0,
get,K65,
get,K0,
put,K4,851220
del,K1,
put,K43,530389
put,K0,781482
put,K0,453730
put,K0,718850
get,K1,
get,K29,
get,K3,
del,K1,
get,K6,
del,K0,
get,K5,
get,K1539,
put,K0,345334
del,K1,
put,K57,499347
put,K0,639047
get,K0,
put,K0,818687
get,K13,
get,K20,
get,K1,
put,K0,91982
get,K0,
put,K420,7271
del,K1,
put,K0,524036
del,K42,
put,K0,626927
get,K1,
put,K104,200281
del,K26,
put,K0,903984
get,K0,
get,K174,
get,K53,
del,K28,
get,K0,
get,K1,
put,K3441,920708
get,K1,
del,K10,
