op,key,value
get,K27,
put,K20,827969
get,K3,
put,K63,446156
get,K327,
get,K65,
put,K245,623333
get,K0,
put,K548,632725
get,K1,
get,K12,
put,K0,708416
get,K0,
put,K0,13071
get,K224,
put,K208,677124
del,K2,
put,K12,737819
put,K101,511272
put,K13,837176
get,K17,
get,K0,
put,K324,920212
get,K0,
get,K80,
get,K1,
get,K7,
get,K41,
get,K1,
get,K5,
put,K14844,655253
put,K2629,659739
get,K0,
put,K35,818729
put,K4,608319
get,K3,
get,K326,
put,K256,882126
put,K2770,146318
get,K0,
put,K0,515524
get,K209,
get,K2590,
get,K594,
put,K21,16613
get,K0,
get,K805,
get,K6,
get,K0,
get,K0,
get,K76,
get,K2,
get,K31,
del,K0,
get,K55,
get,K35,
get,K2256,
put,K53,780730
put,K0,378435
get,K1,
get,K272,
put,K13,291863
get,K11,
get,K2040,
del,K0,
put,K0,392258
get,K243,
del,K0,
put,K0,822565
put,K270,234362
get,K9,
get,K4395,
get,K77,
get,K17858,
get,K17152,
get,K21,
put,K1024,554297
get,K0,
put,K10240,478654
get,K0,
get,K6,
put,K7,389846
get,K0,
get,K28,
get,K339,
put,K3,281779
put,K255,269150
get,K0,
get,K1355,
get,K0,
put,K3,442780
get,K28,
put,K4608,377866
get,K76,
del,K0,
put,K15,266958
get,K5,
get,K1370,
del,K1,
get,K0,
put,K220,690611
get,K0,
get,K62,
put,K220,474909
get,K15156,
get,K114,
get,K0,
del,K11,
get,K51,
put,K0,454973
get,K14,
get,K3,
put,K151,160686
get,K0,
put,K16944,612672
get,K4955,
put,K805,311893
get,K22,
put,K2,187746
put,K0,458383
del,K5,
get,K0,
get,K1,
get,K0,
put,K1,550519
get,K8,
put,K0,296034
put,K444,764577
get,K2,
put,K19,971869
get,K8,
get,K567,
put,K0,566397
get,K7,
put,K5,646418
put,K4,257615
put,K1,887408
get,K2,
get,K0,
get,K65,
put,K5,99979
get,K782,
get,K0,
put,K0,52894
get,K0,
get,K9,
get,K4681,
put,K382,120016
get,K4352,
get,K132,
get,K891,
get,K768,
get,K84,
get,K30,
put,K5,289099
put,K9,722144
put,K3,901919
get,K320,
put,K2025,135388
put,K5,137973
get,K10,
put,K20,646315
get,K0,
put,K3402,586638
get,K82,
put,K3,471262
put,K778,655882
get,K8,
del,K1,
get,K2,
get,K4,
get,K2,
get,K2,
put,K0,219457
put,K8469,583177
get,K3,
get,K0,
put,K757,121910
get,K74,
get,K0,
put,K5,496648
get,K2,
put,K4187,362543
put,K0,499413
get,K2,
put,K5,89552
get,K1628,
put,K162,473613
put,K666,90391
del,K2,
get,K0,
get,K1,
get,K1233,
get,K0,
get,K5,
get,K4491,
get,K3,
get,K2,
get,K89,
get,K0,
put,K0,36963
put,K0,791676
get,K51,
put,K1,318180
get,K1,
put,K275,747593
put,K6,117608
put,K15186,655866
del,K6,
get,K0,
del,K292,
get,K0,
put,K0,428843
put,K0,957453
get,K1197,
put,K0,857144
put,K14,516513
put,K0,741961
put,K3564,641696
get,K23,
get,K0,
put,K0,660210
get,K5289,
get,K0,
put,K0,561935
get,K1825,
put,K0,211391
del,K6,
get,K0,
put,K2272,952618
get,K1024,
get,K4,
get,K38,
get,K2,
get,K886,
put,K6,123881
put,K20,393635
get,K246,
get,K0,
put,K121,398255
put,K12242,954004
put,K0,209243
get,K2,
put,K13,966862
get,K141,
put,K0,972164
get,K5178,
get,K0,
get,K360,
put,K512,286105
get,K38,
get,K1155,
put,K21,761166
put,K19,517237
get,K24,
put,K19968,640511
put,K1764,741946
get,K0,
get,K15,
put,K571,601226
put,K3,798451
put,K0,492325
get,K0,
get,K101,
get,K1,
get,K52,
put,K2,112033
get,K113,
get,K51,
get,K0,
get,K81,
get,K0,
get,K14,
get,K5147,
get,K145,
get,K0,
put,K585,336473
put,K3,316904
get,K4,
put,K5,824996
put,K2,656223
get,K0,
del,K4,
get,K8,
del,K1,
put,K9,568731
get,K818,
get,K0,
get,K26,
get,K1,
get,K412,
del,K0,
get,K149,
get,K3,
put,K4,438977
get,K11,
del,K979,
put,K120,336130
get,K538,
del,K0,
get,K19,
del,K244,
get,K0,
del,K9,
put,K1,833600
get,K70,
get,K411,
put,K0,656809
get,K0,
get,K0,
get,K1,
get,K68,
put,K1,756031
get,K0,
get,K0,
get,K507,
put,K21,371498
get,K111,
get,K22,
get,K0,
get,K799,
put,K2,362236
get,K26,
put,K1,975092
del,K357,
put,K0,723810
get,K5854,
put,K0,259238
get,K145,
get,K0,
get,K7,
get,K8,
put,K3,175909
get,K7147,
get,K0,
get,K2,
put,K2768,3148
get,K53,
get,K5,
put,K0,996238
put,K2,338347
get,K204,
get,K0,
put,K0,661470
put,K15,54798
put,K256,496045
put,K15,109735
get,K0,
put,K0,985370
get,K43,
put,K13,437392
put,K1363,292071
get,K36,
put,K147,517552
get,K340,
put,K6597,353491
get,K0,
put,K0,271992
put,K76,922469
get,K65,
get,K0,
get,K0,
del,K0,
get,K6,
get,K197,
get,K0,
get,K79,
put,K18239,189417
get,K0,
get,K1,
get,K251,
put,K9,560422
put,K29,454362
get,K2,
get,K3,
get,K0,
get,K75,
del,K11,
put,K0,476285
put,K97,936994
get,K0,
get,K0,
del,K142,
get,K178,
get,K256,
put,K0,923831
get,K0,
del,K6,
get,K0,
put,K140,567875
get,K2,
get,K0,
get,K5,
get,K36,
put,K2,303660
del,K3760,
get,K0,
put,K141,532428
get,K448,
get,K338,
get,K0,
get,K5117,
get,K6535,
get,K8,
get,K0,
put,K6,590666
get,K6,
get,K991,
put,K6,242198
put,K47,622535
get,K0,
get,K4,
get,K5,
get,K3507,
get,K1489,
get,K50,
get,K70,
put,K0,73913
get,K0,
del,K7,
del,K0,
get,K29,
put,K149,10376
get,K0,
del,K209,
put,K0,62287
del,K58,
get,K1662,
get,K9,
get,K53,
get,K1,
put,K1,189923
put,K0,958481
get,K7,
get,K14,
get,K1637,
put,K0,598416
get,K0,
put,K2,61857
get,K6,
del,K0,
get,K24,
put,K256,543798
get,K2,
get,K0,
get,K147,
put,K5,517685
get,K10,
get,K0,
get,K0,
put,K9,142389
put,K16,358113
get,K2,
get,K949,
del,K3,
put,K8,585207
get,K1,
get,K0,
put,K0,305118
get,K0,
get,K2616,
put,K1,273707
del,K451,
get,K3,
del,K17,
get,K25,
get,K4,
put,K2395,849467
del,K1319,
put,K315,618624
del,K0,
put,K15,620652
get,K1,
del,K2,
get,K0,
get,K0,
get,K9,
get,K7,
get,K0,
get,K0,
del,K0,
del,K0,
put,K3658,243923
get,K8,
put,K9,102631
get,K0,
put,K70,238950
get,K2,
get,K1,
put,K14,860290
get,K0,
put,K932,741017
get,K13,
put,K60,495372
get,K0,
get,K2410,
put,K0,982034
put,K306,999128
put,K7,193018
put,K5,653421
get,K5,
get,K768,
get,K2,
put,K265,800528
get,K0,
get,K0,
put,K3,348737
get,K3969,
get,K799,
put,K0,397655
put,K0,716655
get,K1178,
get,K0,
del,K42,
put,K74,705934
get,K0,
put,K43,703231
put,K2,698159
del,K0,
get,K3,
get,K0,
del,K2,
get,K17,
get,K0,
put,K6,922305
get,K154,
get,K687,
put,K0,638532
get,K6,
get,K23,
put,K1105,912056
get,K0,
get,K4,
get,K0,
get,K311,
put,K401,348653
get,K0,
get,K4,
put,K512,312336
get,K2,
put,K2,535103
get,K30,
get,K0,
get,K7,
put,K3584,226314
get,K0,
get,K0,
get,K8,
del,K2134,
get,K0,
put,K146,629759
del,K2,
get,K0,
get,K0,
get,K268,
get,K0,
put,K2,909439
get,K1,
get,K2,
get,K160,
get,K0,
put,K0,722417
get,K78,
get,K106,
get,K51,
get,K1,
del,K0,
get,K858,
del,K686,
get,K1112,
del,K79,
put,K1,218860
get,K2,
get,K11,
put,K5330,125821
get,K10,
put,K53,359130
get,K13240,
get,K41,
get,K429,
put,K1,733434
del,K2,
put,K0,578670
del,K2304,
get,K0,
get,K0,
get,K167,
get,K0,
get,K0,
get,K1189,
put,K12,103344
put,K25,771460
get,K24,
get,K1,
get,K12,
del,K6,
put,K0,629167
put,K0,649561
put,K16,462746
get,K0,
get,K1685,
put,K2,479509
put,K0,49562
get,K49,
get,K282,
put,K163,429639
get,K0,
get,K3,
get,K0,
del,K0,
put,K121,585440
put,K0,800537
get,K102,
get,K114,
get,K97,
del,K5,
put,K4704,416127
put,K0,302565
get,K0,
get,K96,
get,K0,
get,K248,
put,K0,87518
put,K0,795300
get,K12,
del,K1,
put,K5,574292
get,K256,
get,K0,
get,K0,
get,K7152,
put,K5469,71305
get,K0,
put,K509,38445
get,K0,
put,K348,742944
get,K3405,
get,K3,
get,K71,
get,K50,
get,K0,
del,K2333,
get,K7,
put,K25,465045
get,K0,
get,K4,
put,K0,104328
get,K218,
put,K117,862958
get,K168,
put,K0,489086
get,K0,
put,K93,966544
get,K44,
get,K277,
put,K588,694897
get,K298,
get,K1,
del,K17,
get,K10033,
get,K56,
get,K0,
get,K83,
del,K0,
get,K2172,
put,K476,860279
get,K2,
put,K0,413371
del,K0,
get,K18,
get,K0,
get,K0,
get,K0,
get,K48,
get,K7,
get,K5,
get,K6,
get,K0,
get,K522,
get,K39,
get,K50,
del,K0,
del,K1,
get,K41,
get,K8,
get,K6565,
put,K82,373838
put,K0,278537
get,K4908,
put,K12,135056
get,K1388,
get,K613,
put,K35,69482
put,K11921,983741
get,K7,
get,K13,
put,K43,147638
get,K0,
get,K3,
put,K0,70715
put,K6,287294
get,K0,
get,K0,
put,K0,809775
get,K3,
get,K44,
put,K3,269247
get,K1,
put,K2492,679161
get,K2825,
get,K20,
get,K1792,
get,K57,
get,K1,
get,K14974,
del,K0,
del,K45,
get,K1,
